loan_id,disbursal_month,disbursal_date,segment,city_tier,loan_amount,tenure_months,interest_rate,bureau_risk_score,is_bad_vintage
L1024,2025-01,2025-01-01,Salaried,Tier 2,148353,24,15.04,666,False
L1025,2025-01,2025-01-01,Self-Employed,Tier 1,146585,12,12.18,695,False
L1026,2025-01,2025-01-01,Salaried,Tier 1,122601,12,14.49,770,False
L1027,2025-01,2025-01-01,Salaried,Tier 2,70224,12,15.12,680,False
L1028,2025-01,2025-01-01,Self-Employed,Tier 2,15037,24,14.04,813,False
L1029,2025-01,2025-01-01,Self-Employed,Tier 2,113730,48,16.44,598,False
L1030,2025-01,2025-01-01,Self-Employed,Tier 1,105372,12,14.87,728,False
L1031,2025-01,2025-01-01,Salaried,Tier 1,141198,36,18.97,758,False
L1032,2025-01,2025-01-01,Self-Employed,Tier 1,102840,48,12.94,457,False
L1033,2025-01,2025-01-01,Salaried,Tier 1,114405,24,21.81,569,False
L1034,2025-01,2025-01-01,Salaried,Tier 1,120014,36,15.06,693,False
L1035,2025-01,2025-01-01,Salaried,Tier 2,108529,36,21.32,789,False
L1036,2025-01,2025-01-01,Self-Employed,Tier 2,34505,12,18.47,785,False
L1037,2025-01,2025-01-01,Salaried,Tier 1,145973,48,21.94,722,False
L1038,2025-01,2025-01-01,Salaried,Tier 1,50097,48,18.32,677,False
L1039,2025-01,2025-01-01,Self-Employed,Tier 2,63970,36,18.18,693,False
L1040,2025-01,2025-01-01,Salaried,Tier 2,89656,48,18.13,717,False
L1041,2025-01,2025-01-01,Self-Employed,Tier 2,82060,12,13.92,900,False
L1042,2025-01,2025-01-01,Salaried,Tier 2,89652,24,21.11,697,False
L1043,2025-01,2025-01-01,Salaried,Tier 1,86276,12,17.51,746,False
L1044,2025-01,2025-01-01,Self-Employed,Tier 1,61514,12,14.83,626,False
L1045,2025-01,2025-01-01,Salaried,Tier 2,95195,48,12.24,714,False
L1046,2025-01,2025-01-01,Salaried,Tier 2,50829,24,20.71,612,False
L1047,2025-01,2025-01-01,Self-Employed,Tier 2,61229,12,14.61,804,False
L1048,2025-01,2025-01-01,Salaried,Tier 1,68011,36,16.77,697,False
L1049,2025-01,2025-01-01,Self-Employed,Tier 2,118620,48,20.81,738,False
L1050,2025-01,2025-01-01,Salaried,Tier 2,146686,36,16.39,619,False
L1051,2025-01,2025-01-01,Salaried,Tier 1,77564,48,11.91,687,False
L1052,2025-01,2025-01-01,Salaried,Tier 2,118991,48,13.77,634,False
L1053,2025-01,2025-01-01,Self-Employed,Tier 1,91367,36,18.84,621,False
L1054,2025-01,2025-01-01,Salaried,Tier 1,86784,36,16.11,636,False
L1055,2025-01,2025-01-01,Salaried,Tier 1,66845,24,21.11,829,False
L1056,2025-01,2025-01-01,Salaried,Tier 1,95515,12,19.25,732,False
L1057,2025-01,2025-01-01,Salaried,Tier 2,44418,48,13.17,636,False
L1058,2025-01,2025-01-01,Salaried,Tier 1,110972,48,13.32,733,False
L1059,2025-01,2025-01-01,Salaried,Tier 1,136292,24,14.24,799,False
L1060,2025-01,2025-01-01,Salaried,Tier 3,185611,12,13.21,687,False
L1061,2025-01,2025-01-01,Salaried,Tier 2,92094,36,19.91,645,False
L1062,2025-01,2025-01-01,Self-Employed,Tier 2,96809,36,21.39,655,False
L1063,2025-01,2025-01-01,Salaried,Tier 3,75407,48,15.55,698,False
L1064,2025-01,2025-01-01,Self-Employed,Tier 1,89147,24,18.82,525,False
L1065,2025-01,2025-01-01,Self-Employed,Tier 3,114385,12,17.25,736,False
L1066,2025-01,2025-01-01,Salaried,Tier 2,138324,48,15.41,727,False
L1067,2025-01,2025-01-01,Self-Employed,Tier 1,136585,12,14.0,640,False
L1068,2025-01,2025-01-01,Salaried,Tier 2,16302,12,20.9,673,False
L1069,2025-01,2025-01-01,Salaried,Tier 1,99724,48,16.57,668,False
L1070,2025-01,2025-01-01,Salaried,Tier 1,96057,48,18.56,607,False
L1071,2025-01,2025-01-01,Self-Employed,Tier 2,69025,36,12.09,679,False
L1072,2025-01,2025-01-01,Self-Employed,Tier 2,116669,12,12.56,724,False
L1073,2025-01,2025-01-01,Salaried,Tier 2,75868,12,13.95,700,False
L1074,2025-01,2025-01-01,Salaried,Tier 3,80478,36,21.85,721,False
L1075,2025-01,2025-01-01,Self-Employed,Tier 1,28887,24,14.97,821,False
L1076,2025-01,2025-01-01,Salaried,Tier 1,133312,48,12.75,507,False
L1077,2025-01,2025-01-01,Salaried,Tier 2,105580,24,15.7,817,False
L1078,2025-01,2025-01-01,Salaried,Tier 1,15000,24,11.63,782,False
L1079,2025-01,2025-01-01,Self-Employed,Tier 1,92089,36,21.15,768,False
L1080,2025-01,2025-01-01,Salaried,Tier 2,68945,12,18.09,592,False
L1081,2025-01,2025-01-01,Salaried,Tier 3,155694,48,13.28,607,False
L1082,2025-01,2025-01-01,Self-Employed,Tier 1,67292,12,21.73,601,False
L1083,2025-01,2025-01-01,Self-Employed,Tier 2,32618,48,17.83,712,False
L1084,2025-01,2025-01-01,Salaried,Tier 1,140540,12,15.89,524,False
L1085,2025-01,2025-01-01,Self-Employed,Tier 3,125383,48,21.85,637,False
L1086,2025-01,2025-01-01,Salaried,Tier 2,124605,12,20.3,646,False
L1087,2025-01,2025-01-01,Salaried,Tier 1,86741,24,18.76,675,False
L1088,2025-01,2025-01-01,Salaried,Tier 2,94992,12,21.42,752,False
L1089,2025-01,2025-01-01,Self-Employed,Tier 1,57971,36,14.38,667,False
L1090,2025-01,2025-01-01,Salaried,Tier 3,15000,36,16.96,655,False
L1091,2025-01,2025-01-01,Self-Employed,Tier 2,120797,12,17.69,694,False
L1092,2025-01,2025-01-01,Salaried,Tier 1,107812,36,13.74,789,False
L1093,2025-01,2025-01-01,Salaried,Tier 1,121752,24,17.33,521,False
L1094,2025-01,2025-01-01,Salaried,Tier 2,29123,36,15.66,856,False
L1095,2025-01,2025-01-01,Self-Employed,Tier 3,89558,48,12.2,751,False
L1096,2025-01,2025-01-01,Salaried,Tier 2,55558,36,14.02,625,False
L1097,2025-01,2025-01-01,Salaried,Tier 1,100997,48,18.81,595,False
L1098,2025-01,2025-01-01,Salaried,Tier 3,104033,12,13.52,681,False
L1099,2025-01,2025-01-01,Salaried,Tier 1,65535,12,17.26,629,False
L1100,2025-01,2025-01-01,Salaried,Tier 1,53445,24,19.89,575,False
L1101,2025-01,2025-01-01,Self-Employed,Tier 1,86630,12,12.39,660,False
L1102,2025-01,2025-01-01,Salaried,Tier 3,113990,24,17.99,686,False
L1103,2025-01,2025-01-01,Salaried,Tier 2,115542,36,20.37,591,False
L1104,2025-01,2025-01-01,Self-Employed,Tier 1,79253,36,14.05,761,False
L1105,2025-01,2025-01-01,Salaried,Tier 1,70602,48,13.95,582,False
L1106,2025-01,2025-01-01,Salaried,Tier 2,130292,24,12.41,562,False
L1107,2025-01,2025-01-01,Salaried,Tier 2,76784,36,15.48,822,False
L1108,2025-01,2025-01-01,Salaried,Tier 3,47543,36,21.86,733,False
L1109,2025-01,2025-01-01,Salaried,Tier 1,70480,36,12.42,636,False
L1110,2025-01,2025-01-01,Self-Employed,Tier 1,113924,36,20.08,693,False
L1111,2025-01,2025-01-01,Salaried,Tier 1,105849,36,17.12,698,False
L1112,2025-01,2025-01-01,Salaried,Tier 3,62709,48,14.05,737,False
L1113,2025-01,2025-01-01,Salaried,Tier 2,109157,36,21.29,530,False
L1114,2025-01,2025-01-01,Salaried,Tier 2,67560,12,12.17,487,False
L1115,2025-01,2025-01-01,Self-Employed,Tier 1,71940,12,11.53,748,False
L1116,2025-01,2025-01-01,Salaried,Tier 2,128652,36,21.26,721,False
L1117,2025-01,2025-01-01,Self-Employed,Tier 3,101134,12,13.65,625,False
L1118,2025-01,2025-01-01,Salaried,Tier 3,107379,12,13.62,724,False
L1119,2025-01,2025-01-01,Salaried,Tier 1,106304,24,21.03,773,False
L1120,2025-01,2025-01-01,Salaried,Tier 2,74976,48,15.46,851,False
L1121,2025-01,2025-01-01,Salaried,Tier 1,90552,12,15.23,830,False
L1122,2025-01,2025-01-01,Salaried,Tier 2,21328,36,18.09,808,False
L1123,2025-01,2025-01-01,Salaried,Tier 1,105281,48,19.29,792,False
L1124,2025-01,2025-01-01,Salaried,Tier 3,114844,36,19.31,770,False
L1125,2025-01,2025-01-01,Salaried,Tier 2,104369,12,12.58,710,False
L1126,2025-01,2025-01-01,Salaried,Tier 1,157715,36,19.87,595,False
L1127,2025-01,2025-01-01,Salaried,Tier 1,118915,36,17.78,767,False
L1128,2025-01,2025-01-01,Salaried,Tier 2,125459,24,21.04,712,False
L1129,2025-01,2025-01-01,Salaried,Tier 1,109630,48,21.07,674,False
L1130,2025-01,2025-01-01,Salaried,Tier 1,116035,36,21.29,595,False
L1131,2025-01,2025-01-01,Salaried,Tier 2,96505,24,19.6,719,False
L1132,2025-01,2025-01-01,Salaried,Tier 1,80121,24,20.31,637,False
L1133,2025-01,2025-01-01,Salaried,Tier 3,91671,48,17.88,778,False
L1134,2025-01,2025-01-01,Salaried,Tier 2,108486,24,15.0,623,False
L1135,2025-01,2025-01-01,Salaried,Tier 2,83103,24,16.55,736,False
L1136,2025-01,2025-01-01,Self-Employed,Tier 2,104150,48,15.9,542,False
L1137,2025-01,2025-01-01,Self-Employed,Tier 1,145468,48,13.73,781,False
L1138,2025-01,2025-01-01,Salaried,Tier 3,158299,24,12.4,533,False
L1139,2025-01,2025-01-01,Self-Employed,Tier 2,69673,36,15.98,693,False
L1140,2025-01,2025-01-01,Self-Employed,Tier 1,157694,12,16.46,628,False
L1141,2025-01,2025-01-01,Salaried,Tier 1,82350,24,17.11,815,False
L1142,2025-01,2025-01-01,Salaried,Tier 2,79304,48,20.55,701,False
L1143,2025-01,2025-01-01,Self-Employed,Tier 1,114996,48,19.91,560,False
L1144,2025-01,2025-01-01,Self-Employed,Tier 3,82295,12,13.83,772,False
L1145,2025-01,2025-01-01,Salaried,Tier 2,74264,12,17.35,724,False
L1146,2025-01,2025-01-01,Self-Employed,Tier 3,90390,24,20.22,685,False
L1147,2025-01,2025-01-01,Salaried,Tier 2,70283,48,12.41,595,False
L1148,2025-01,2025-01-01,Self-Employed,Tier 2,99909,24,20.87,758,False
L1149,2025-01,2025-01-01,Self-Employed,Tier 1,68869,36,11.86,553,False
L1150,2025-01,2025-01-01,Self-Employed,Tier 1,71180,12,14.59,792,False
L1151,2025-01,2025-01-01,Self-Employed,Tier 2,119154,48,13.41,677,False
L1152,2025-01,2025-01-01,Salaried,Tier 2,116092,12,14.21,775,False
L1153,2025-01,2025-01-01,Salaried,Tier 3,90553,12,18.76,711,False
L1154,2025-01,2025-01-01,Self-Employed,Tier 3,130402,12,14.38,691,False
L1155,2025-01,2025-01-01,Salaried,Tier 2,75925,24,12.97,727,False
L1156,2025-01,2025-01-01,Salaried,Tier 1,62802,12,18.48,755,False
L1157,2025-01,2025-01-01,Salaried,Tier 3,34773,24,15.93,564,False
L1158,2025-01,2025-01-01,Salaried,Tier 3,83249,48,19.05,788,False
L1159,2025-01,2025-01-01,Salaried,Tier 2,152439,24,12.92,652,False
L1160,2025-01,2025-01-01,Salaried,Tier 1,53041,48,12.04,693,False
L1161,2025-01,2025-01-01,Salaried,Tier 2,124478,12,15.12,616,False
L1162,2025-01,2025-01-01,Salaried,Tier 1,113039,12,14.09,824,False
L1163,2025-01,2025-01-01,Self-Employed,Tier 2,57366,24,12.58,763,False
L1164,2025-01,2025-01-01,Salaried,Tier 3,96525,48,17.19,855,False
L1165,2025-01,2025-01-01,Self-Employed,Tier 2,106793,24,18.19,777,False
L1166,2025-01,2025-01-01,Self-Employed,Tier 3,130645,12,21.41,772,False
L1167,2025-01,2025-01-01,Salaried,Tier 2,114554,24,12.77,692,False
L1168,2025-01,2025-01-01,Self-Employed,Tier 1,84119,12,16.48,593,False
L1169,2025-01,2025-01-01,Self-Employed,Tier 3,118148,12,18.33,633,False
L1170,2025-01,2025-01-01,Salaried,Tier 2,120566,36,15.07,675,False
L1171,2025-01,2025-01-01,Self-Employed,Tier 1,102377,12,18.45,506,False
L1172,2025-01,2025-01-01,Self-Employed,Tier 2,120304,24,11.76,662,False
L1173,2025-01,2025-01-01,Self-Employed,Tier 1,92468,48,21.29,775,False
L1174,2025-01,2025-01-01,Salaried,Tier 1,89271,48,20.67,630,False
L1175,2025-01,2025-01-01,Self-Employed,Tier 2,39545,12,19.19,521,False
L1176,2025-01,2025-01-01,Salaried,Tier 2,113585,24,13.95,639,False
L1177,2025-01,2025-01-01,Salaried,Tier 1,88959,12,15.61,701,False
L1178,2025-01,2025-01-01,Salaried,Tier 3,70543,48,15.88,752,False
L1179,2025-01,2025-01-01,Self-Employed,Tier 3,159291,12,19.31,620,False
L1180,2025-01,2025-01-01,Salaried,Tier 1,75708,36,16.88,733,False
L1181,2025-01,2025-01-01,Salaried,Tier 1,71305,36,20.18,630,False
L1182,2025-01,2025-01-01,Self-Employed,Tier 2,92896,48,21.95,545,False
L1183,2025-01,2025-01-01,Salaried,Tier 1,113877,48,20.92,774,False
L1184,2025-01,2025-01-01,Salaried,Tier 2,22629,36,12.86,600,False
L1185,2025-01,2025-01-01,Self-Employed,Tier 3,98575,48,21.28,710,False
L1186,2025-01,2025-01-01,Self-Employed,Tier 1,82936,24,12.35,689,False
L1187,2025-01,2025-01-01,Salaried,Tier 2,15000,12,21.02,601,False
L1188,2025-01,2025-01-01,Salaried,Tier 2,123111,12,20.73,691,False
L1189,2025-01,2025-01-01,Self-Employed,Tier 2,114614,12,21.27,725,False
L1190,2025-01,2025-01-01,Salaried,Tier 2,95845,12,20.65,665,False
L1191,2025-01,2025-01-01,Salaried,Tier 3,78890,24,21.04,604,False
L1192,2025-01,2025-01-01,Salaried,Tier 2,65676,24,14.51,757,False
L1193,2025-01,2025-01-01,Salaried,Tier 3,49204,48,11.6,747,False
L1194,2025-01,2025-01-01,Self-Employed,Tier 1,125591,48,18.14,658,False
L1195,2025-01,2025-01-01,Self-Employed,Tier 1,95266,24,21.45,716,False
L1196,2025-01,2025-01-01,Salaried,Tier 2,82980,24,18.02,846,False
L1197,2025-01,2025-01-01,Salaried,Tier 3,73232,12,15.53,713,False
L1198,2025-01,2025-01-01,Salaried,Tier 3,124098,36,18.67,638,False
L1199,2025-01,2025-01-01,Salaried,Tier 1,53103,36,20.17,664,False
L1200,2025-01,2025-01-01,Salaried,Tier 3,68296,36,14.37,745,False
L1201,2025-01,2025-01-01,Self-Employed,Tier 1,109506,48,20.5,671,False
L1202,2025-01,2025-01-01,Self-Employed,Tier 2,34596,24,20.89,628,False
L1203,2025-01,2025-01-01,Salaried,Tier 1,92226,48,17.41,659,False
L1204,2025-01,2025-01-01,Salaried,Tier 2,77432,12,19.65,636,False
L1205,2025-01,2025-01-01,Self-Employed,Tier 3,109281,48,14.59,799,False
L1206,2025-01,2025-01-01,Self-Employed,Tier 3,85151,24,12.73,559,False
L1207,2025-01,2025-01-01,Salaried,Tier 2,49251,12,13.19,651,False
L1208,2025-01,2025-01-01,Self-Employed,Tier 1,46397,48,16.28,856,False
L1209,2025-01,2025-01-01,Salaried,Tier 1,76430,36,19.08,461,False
L1210,2025-01,2025-01-01,Self-Employed,Tier 2,118195,12,14.04,756,False
L1211,2025-01,2025-01-01,Self-Employed,Tier 1,162060,48,15.13,677,False
L1212,2025-01,2025-01-01,Self-Employed,Tier 3,91875,12,15.18,609,False
L1213,2025-01,2025-01-01,Salaried,Tier 1,59951,36,13.61,654,False
L1214,2025-01,2025-01-01,Self-Employed,Tier 3,93052,48,18.18,655,False
L1215,2025-01,2025-01-01,Self-Employed,Tier 1,144359,48,21.45,712,False
L1216,2025-01,2025-01-01,Self-Employed,Tier 2,79937,36,20.9,897,False
L1217,2025-01,2025-01-01,Salaried,Tier 3,152257,12,13.22,617,False
L1218,2025-01,2025-01-01,Salaried,Tier 2,141966,12,20.65,776,False
L1219,2025-01,2025-01-01,Salaried,Tier 3,59052,36,16.05,632,False
L1220,2025-01,2025-01-01,Salaried,Tier 1,105179,36,18.33,500,False
L1221,2025-02,2025-02-01,Salaried,Tier 2,82278,24,21.59,529,False
L1222,2025-02,2025-02-01,Salaried,Tier 3,131533,24,21.87,748,False
L1223,2025-02,2025-02-01,Salaried,Tier 3,43145,12,15.65,860,False
L1224,2025-02,2025-02-01,Salaried,Tier 2,107993,36,17.72,782,False
L1225,2025-02,2025-02-01,Self-Employed,Tier 1,134296,36,13.98,804,False
L1226,2025-02,2025-02-01,Self-Employed,Tier 1,139798,24,21.7,794,False
L1227,2025-02,2025-02-01,Salaried,Tier 3,40485,48,15.75,675,False
L1228,2025-02,2025-02-01,Salaried,Tier 2,69427,12,15.61,704,False
L1229,2025-02,2025-02-01,Self-Employed,Tier 1,51159,48,17.79,784,False
L1230,2025-02,2025-02-01,Salaried,Tier 1,102994,24,13.28,653,False
L1231,2025-02,2025-02-01,Salaried,Tier 1,82222,48,17.67,791,False
L1232,2025-02,2025-02-01,Self-Employed,Tier 1,51104,36,19.23,543,False
L1233,2025-02,2025-02-01,Self-Employed,Tier 2,101458,48,20.57,718,False
L1234,2025-02,2025-02-01,Salaried,Tier 2,80351,24,11.91,639,False
L1235,2025-02,2025-02-01,Salaried,Tier 2,84300,12,17.64,720,False
L1236,2025-02,2025-02-01,Self-Employed,Tier 1,149150,24,21.49,660,False
L1237,2025-02,2025-02-01,Self-Employed,Tier 3,119940,24,15.1,419,False
L1238,2025-02,2025-02-01,Salaried,Tier 1,91915,48,21.68,690,False
L1239,2025-02,2025-02-01,Salaried,Tier 2,122192,24,14.18,665,False
L1240,2025-02,2025-02-01,Self-Employed,Tier 3,86914,24,17.99,677,False
L1241,2025-02,2025-02-01,Self-Employed,Tier 2,123165,36,21.38,786,False
L1242,2025-02,2025-02-01,Self-Employed,Tier 2,34471,24,21.99,764,False
L1243,2025-02,2025-02-01,Salaried,Tier 3,120154,12,12.45,657,False
L1244,2025-02,2025-02-01,Salaried,Tier 1,126695,48,18.51,742,False
L1245,2025-02,2025-02-01,Self-Employed,Tier 2,81073,36,15.44,803,False
L1246,2025-02,2025-02-01,Salaried,Tier 2,123277,24,15.66,548,False
L1247,2025-02,2025-02-01,Self-Employed,Tier 1,43418,12,16.17,652,False
L1248,2025-02,2025-02-01,Salaried,Tier 2,103532,24,16.37,585,False
L1249,2025-02,2025-02-01,Salaried,Tier 3,15017,12,20.04,886,False
L1250,2025-02,2025-02-01,Salaried,Tier 1,41079,48,17.88,695,False
L1251,2025-02,2025-02-01,Self-Employed,Tier 3,82419,36,15.49,715,False
L1252,2025-02,2025-02-01,Salaried,Tier 2,75995,48,14.2,641,False
L1253,2025-02,2025-02-01,Salaried,Tier 1,95396,48,12.44,805,False
L1254,2025-02,2025-02-01,Self-Employed,Tier 1,58240,48,13.41,685,False
L1255,2025-02,2025-02-01,Salaried,Tier 2,94814,24,21.14,595,False
L1256,2025-02,2025-02-01,Salaried,Tier 1,76151,12,18.15,783,False
L1257,2025-02,2025-02-01,Self-Employed,Tier 2,91465,12,19.83,683,False
L1258,2025-02,2025-02-01,Self-Employed,Tier 1,112192,48,15.21,657,False
L1259,2025-02,2025-02-01,Salaried,Tier 2,114087,48,18.55,629,False
L1260,2025-02,2025-02-01,Self-Employed,Tier 2,82655,12,13.26,578,False
L1261,2025-02,2025-02-01,Self-Employed,Tier 3,84441,48,14.78,668,False
L1262,2025-02,2025-02-01,Salaried,Tier 1,50207,12,17.74,747,False
L1263,2025-02,2025-02-01,Salaried,Tier 3,102436,36,16.15,610,False
L1264,2025-02,2025-02-01,Salaried,Tier 2,101698,24,17.57,788,False
L1265,2025-02,2025-02-01,Salaried,Tier 1,72549,36,15.11,588,False
L1266,2025-02,2025-02-01,Salaried,Tier 1,104801,48,13.95,766,False
L1267,2025-02,2025-02-01,Salaried,Tier 3,103878,12,16.3,870,False
L1268,2025-02,2025-02-01,Salaried,Tier 1,45012,36,19.17,560,False
L1269,2025-02,2025-02-01,Salaried,Tier 1,106749,12,18.17,686,False
L1270,2025-02,2025-02-01,Self-Employed,Tier 1,43319,36,19.44,516,False
L1271,2025-02,2025-02-01,Salaried,Tier 2,73982,48,11.71,553,False
L1272,2025-02,2025-02-01,Self-Employed,Tier 2,113193,48,18.05,576,False
L1273,2025-02,2025-02-01,Salaried,Tier 2,94006,24,13.17,666,False
L1274,2025-02,2025-02-01,Salaried,Tier 1,69538,12,12.42,574,False
L1275,2025-02,2025-02-01,Self-Employed,Tier 2,64557,36,21.4,535,False
L1276,2025-02,2025-02-01,Self-Employed,Tier 1,100959,48,20.44,806,False
L1277,2025-02,2025-02-01,Salaried,Tier 3,92454,36,18.58,671,False
L1278,2025-02,2025-02-01,Salaried,Tier 2,79158,24,12.35,639,False
L1279,2025-02,2025-02-01,Salaried,Tier 1,58902,48,17.52,798,False
L1280,2025-02,2025-02-01,Self-Employed,Tier 2,30925,36,16.61,660,False
L1281,2025-02,2025-02-01,Salaried,Tier 2,90310,12,20.16,561,False
L1282,2025-02,2025-02-01,Self-Employed,Tier 1,118523,36,21.61,375,False
L1283,2025-02,2025-02-01,Salaried,Tier 3,35927,24,20.7,621,False
L1284,2025-02,2025-02-01,Salaried,Tier 3,40307,36,12.14,793,False
L1285,2025-02,2025-02-01,Self-Employed,Tier 2,94460,12,16.02,649,False
L1286,2025-02,2025-02-01,Salaried,Tier 1,68726,36,18.77,756,False
L1287,2025-02,2025-02-01,Salaried,Tier 2,43971,48,18.39,762,False
L1288,2025-02,2025-02-01,Self-Employed,Tier 2,77024,48,13.54,799,False
L1289,2025-02,2025-02-01,Salaried,Tier 1,106243,24,21.62,748,False
L1290,2025-02,2025-02-01,Salaried,Tier 1,131083,12,19.48,645,False
L1291,2025-02,2025-02-01,Salaried,Tier 2,60176,48,18.28,677,False
L1292,2025-02,2025-02-01,Salaried,Tier 1,78312,24,16.5,729,False
L1293,2025-02,2025-02-01,Salaried,Tier 1,134135,12,12.9,661,False
L1294,2025-02,2025-02-01,Salaried,Tier 2,84065,24,11.9,645,False
L1295,2025-02,2025-02-01,Self-Employed,Tier 2,132317,36,16.23,789,False
L1296,2025-02,2025-02-01,Salaried,Tier 3,120325,12,19.24,668,False
L1297,2025-02,2025-02-01,Salaried,Tier 2,79040,48,12.61,696,False
L1298,2025-02,2025-02-01,Salaried,Tier 2,66926,48,15.17,475,False
L1299,2025-02,2025-02-01,Self-Employed,Tier 2,76457,12,17.27,640,False
L1300,2025-02,2025-02-01,Self-Employed,Tier 1,66061,48,21.66,666,False
L1301,2025-02,2025-02-01,Salaried,Tier 2,47345,24,11.61,815,False
L1302,2025-02,2025-02-01,Salaried,Tier 1,118865,24,19.89,675,False
L1303,2025-02,2025-02-01,Salaried,Tier 3,133668,36,16.97,841,False
L1304,2025-02,2025-02-01,Salaried,Tier 1,65128,48,16.04,698,False
L1305,2025-02,2025-02-01,Salaried,Tier 2,83362,24,11.63,655,False
L1306,2025-02,2025-02-01,Self-Employed,Tier 2,112385,48,21.15,647,False
L1307,2025-02,2025-02-01,Salaried,Tier 2,126411,48,17.36,667,False
L1308,2025-02,2025-02-01,Salaried,Tier 1,123743,12,21.34,608,False
L1309,2025-02,2025-02-01,Salaried,Tier 1,101990,36,21.63,621,False
L1310,2025-02,2025-02-01,Salaried,Tier 1,60787,12,17.7,520,False
L1311,2025-02,2025-02-01,Salaried,Tier 1,144341,36,17.56,736,False
L1312,2025-02,2025-02-01,Self-Employed,Tier 1,96187,48,14.09,571,False
L1313,2025-02,2025-02-01,Self-Employed,Tier 3,83729,24,18.4,603,False
L1314,2025-02,2025-02-01,Salaried,Tier 2,102993,24,15.23,786,False
L1315,2025-02,2025-02-01,Self-Employed,Tier 2,46504,36,20.34,580,False
L1316,2025-02,2025-02-01,Salaried,Tier 2,81372,48,19.08,595,False
L1317,2025-02,2025-02-01,Self-Employed,Tier 2,47449,48,13.37,521,False
L1318,2025-02,2025-02-01,Salaried,Tier 1,77514,12,17.68,573,False
L1319,2025-02,2025-02-01,Salaried,Tier 2,93793,36,18.88,618,False
L1320,2025-02,2025-02-01,Salaried,Tier 2,138183,48,20.16,820,False
L1321,2025-02,2025-02-01,Salaried,Tier 1,84894,24,21.81,639,False
L1322,2025-02,2025-02-01,Salaried,Tier 3,20876,24,14.95,713,False
L1323,2025-02,2025-02-01,Salaried,Tier 1,104401,36,19.55,557,False
L1324,2025-02,2025-02-01,Self-Employed,Tier 1,103670,48,19.75,582,False
L1325,2025-02,2025-02-01,Salaried,Tier 1,78833,12,21.48,777,False
L1326,2025-02,2025-02-01,Salaried,Tier 2,111539,24,14.37,830,False
L1327,2025-02,2025-02-01,Salaried,Tier 1,120988,12,16.35,662,False
L1328,2025-02,2025-02-01,Salaried,Tier 1,94691,24,12.35,709,False
L1329,2025-02,2025-02-01,Self-Employed,Tier 2,139837,24,12.1,638,False
L1330,2025-02,2025-02-01,Salaried,Tier 1,111854,12,21.54,664,False
L1331,2025-02,2025-02-01,Salaried,Tier 1,60708,36,14.39,599,False
L1332,2025-02,2025-02-01,Self-Employed,Tier 3,57922,12,19.66,505,False
L1333,2025-02,2025-02-01,Salaried,Tier 2,17272,36,12.41,759,False
L1334,2025-02,2025-02-01,Salaried,Tier 2,58106,48,21.34,692,False
L1335,2025-02,2025-02-01,Salaried,Tier 1,116538,24,21.79,597,False
L1336,2025-02,2025-02-01,Salaried,Tier 2,73281,36,21.71,584,False
L1337,2025-02,2025-02-01,Salaried,Tier 1,67962,36,18.68,607,False
L1338,2025-02,2025-02-01,Salaried,Tier 3,75240,36,12.21,554,False
L1339,2025-02,2025-02-01,Self-Employed,Tier 2,87520,12,16.0,605,False
L1340,2025-02,2025-02-01,Salaried,Tier 2,83974,48,15.82,667,False
L1341,2025-02,2025-02-01,Self-Employed,Tier 2,90623,48,15.24,614,False
