loan_id,disbursal_month,snapshot_month,mob,dpd_bucket
L1004,2025-01,2026-05,16,NPA
L1004,2025-01,2026-06,17,NPA
L1005,2025-01,2025-02,1,Current
L1005,2025-01,2025-03,2,Current
L1005,2025-01,2025-04,3,Current
L1005,2025-01,2025-05,4,Current
L1005,2025-01,2025-06,5,Current
L1005,2025-01,2025-07,6,Current
L1005,2025-01,2025-08,7,Current
L1005,2025-01,2025-09,8,Current
L1005,2025-01,2025-10,9,Current
L1005,2025-01,2025-11,10,Current
L1005,2025-01,2025-12,11,Current
L1005,2025-01,2026-01,12,Current
L1005,2025-01,2026-02,13,Current
L1005,2025-01,2026-03,14,Current
L1005,2025-01,2026-04,15,Current
L1005,2025-01,2026-05,16,Current
L1005,2025-01,2026-06,17,Current
L1006,2025-01,2025-02,1,Current
L1006,2025-01,2025-03,2,Current
L1006,2025-01,2025-04,3,Current
L1006,2025-01,2025-05,4,Current
L1006,2025-01,2025-06,5,Current
L1006,2025-01,2025-07,6,Current
L1006,2025-01,2025-08,7,Current
L1006,2025-01,2025-09,8,Current
L1006,2025-01,2025-10,9,Current
L1006,2025-01,2025-11,10,Current
L1006,2025-01,2025-12,11,Current
L1006,2025-01,2026-01,12,Current
L1006,2025-01,2026-02,13,Current
L1007,2025-01,2025-02,1,Current
L1007,2025-01,2025-03,2,Current
L1007,2025-01,2025-04,3,Current
L1007,2025-01,2025-05,4,Current
L1007,2025-01,2025-06,5,Current
L1007,2025-01,2025-07,6,Current
L1007,2025-01,2025-08,7,Current
L1007,2025-01,2025-09,8,Current
L1007,2025-01,2025-10,9,Current
L1007,2025-01,2025-11,10,Current
L1007,2025-01,2025-12,11,Current
L1007,2025-01,2026-01,12,Current
L1007,2025-01,2026-02,13,Current
L1008,2025-01,2025-02,1,Current
L1008,2025-01,2025-03,2,Current
L1008,2025-01,2025-04,3,Current
L1008,2025-01,2025-05,4,Current
L1008,2025-01,2025-06,5,Current
L1008,2025-01,2025-07,6,Current
L1008,2025-01,2025-08,7,Current
L1008,2025-01,2025-09,8,Current
L1008,2025-01,2025-10,9,Current
L1008,2025-01,2025-11,10,Current
L1008,2025-01,2025-12,11,Current
L1008,2025-01,2026-01,12,30 DPD
L1008,2025-01,2026-02,13,30 DPD
L1008,2025-01,2026-03,14,Current
L1008,2025-01,2026-04,15,Current
L1008,2025-01,2026-05,16,Current
L1008,2025-01,2026-06,17,Current
L1009,2025-01,2025-02,1,Current
L1009,2025-01,2025-03,2,Current
L1009,2025-01,2025-04,3,Current
L1009,2025-01,2025-05,4,Current
L1009,2025-01,2025-06,5,Current
L1009,2025-01,2025-07,6,30 DPD
L1009,2025-01,2025-08,7,30 DPD
L1009,2025-01,2025-09,8,60 DPD
L1009,2025-01,2025-10,9,90 DPD
L1009,2025-01,2025-11,10,90 DPD
L1009,2025-01,2025-12,11,90 DPD
L1009,2025-01,2026-01,12,NPA
L1009,2025-01,2026-02,13,NPA
L1009,2025-01,2026-03,14,NPA
L1009,2025-01,2026-04,15,NPA
L1009,2025-01,2026-05,16,NPA
L1009,2025-01,2026-06,17,NPA
L1010,2025-01,2025-02,1,Current
L1010,2025-01,2025-03,2,Current
L1010,2025-01,2025-04,3,Current
L1010,2025-01,2025-05,4,Current
L1010,2025-01,2025-06,5,30 DPD
L1010,2025-01,2025-07,6,60 DPD
L1010,2025-01,2025-08,7,60 DPD
L1010,2025-01,2025-09,8,60 DPD
L1010,2025-01,2025-10,9,60 DPD
L1010,2025-01,2025-11,10,60 DPD
L1010,2025-01,2025-12,11,Current
L1010,2025-01,2026-01,12,Current
L1010,2025-01,2026-02,13,Current
L1010,2025-01,2026-03,14,Current
L1010,2025-01,2026-04,15,Current
L1010,2025-01,2026-05,16,Current
L1010,2025-01,2026-06,17,Current
L1011,2025-01,2025-02,1,Current
L1011,2025-01,2025-03,2,Current
L1011,2025-01,2025-04,3,Current
L1011,2025-01,2025-05,4,Current
L1011,2025-01,2025-06,5,Current
L1011,2025-01,2025-07,6,Current
L1011,2025-01,2025-08,7,Current
L1011,2025-01,2025-09,8,Current
L1011,2025-01,2025-10,9,Current
L1011,2025-01,2025-11,10,Current
L1011,2025-01,2025-12,11,Current
L1011,2025-01,2026-01,12,30 DPD
L1011,2025-01,2026-02,13,30 DPD
L1011,2025-01,2026-03,14,60 DPD
L1011,2025-01,2026-04,15,Current
L1011,2025-01,2026-05,16,Current
L1011,2025-01,2026-06,17,Current
L1012,2025-01,2025-02,1,Current
L1012,2025-01,2025-03,2,Current
L1012,2025-01,2025-04,3,Current
L1012,2025-01,2025-05,4,Current
L1012,2025-01,2025-06,5,Current
L1012,2025-01,2025-07,6,Current
L1012,2025-01,2025-08,7,Current
L1012,2025-01,2025-09,8,Current
L1012,2025-01,2025-10,9,Current
L1012,2025-01,2025-11,10,Current
L1012,2025-01,2025-12,11,Current
L1012,2025-01,2026-01,12,Current
L1012,2025-01,2026-02,13,Current
L1013,2025-01,2025-02,1,Current
L1013,2025-01,2025-03,2,Current
L1013,2025-01,2025-04,3,Current
L1013,2025-01,2025-05,4,Current
L1013,2025-01,2025-06,5,Current
L1013,2025-01,2025-07,6,Current
L1013,2025-01,2025-08,7,Current
L1013,2025-01,2025-09,8,Current
L1013,2025-01,2025-10,9,Current
L1013,2025-01,2025-11,10,Current
L1013,2025-01,2025-12,11,Current
L1013,2025-01,2026-01,12,Current
L1013,2025-01,2026-02,13,Current
L1013,2025-01,2026-03,14,Current
L1013,2025-01,2026-04,15,Current
L1013,2025-01,2026-05,16,Current
L1013,2025-01,2026-06,17,Current
L1014,2025-01,2025-02,1,Current
L1014,2025-01,2025-03,2,Current
L1014,2025-01,2025-04,3,Current
L1014,2025-01,2025-05,4,Current
L1014,2025-01,2025-06,5,Current
L1014,2025-01,2025-07,6,Current
L1014,2025-01,2025-08,7,Current
L1014,2025-01,2025-09,8,Current
L1014,2025-01,2025-10,9,Current
L1014,2025-01,2025-11,10,Current
L1014,2025-01,2025-12,11,Current
L1014,2025-01,2026-01,12,Current
L1014,2025-01,2026-02,13,Current
L1014,2025-01,2026-03,14,Current
L1014,2025-01,2026-04,15,Current
L1014,2025-01,2026-05,16,Current
L1014,2025-01,2026-06,17,Current
L1015,2025-01,2025-02,1,Current
L1015,2025-01,2025-03,2,Current
L1015,2025-01,2025-04,3,Current
L1015,2025-01,2025-05,4,Current
L1015,2025-01,2025-06,5,Current
L1015,2025-01,2025-07,6,Current
L1015,2025-01,2025-08,7,Current
L1015,2025-01,2025-09,8,Current
L1015,2025-01,2025-10,9,Current
L1015,2025-01,2025-11,10,Current
L1015,2025-01,2025-12,11,Current
L1015,2025-01,2026-01,12,Current
L1015,2025-01,2026-02,13,Current
L1015,2025-01,2026-03,14,Current
L1015,2025-01,2026-04,15,Current
L1015,2025-01,2026-05,16,Current
L1015,2025-01,2026-06,17,Current
L1016,2025-01,2025-02,1,Current
L1016,2025-01,2025-03,2,Current
L1016,2025-01,2025-04,3,Current
L1016,2025-01,2025-05,4,Current
L1016,2025-01,2025-06,5,Current
L1016,2025-01,2025-07,6,Current
L1016,2025-01,2025-08,7,Current
L1016,2025-01,2025-09,8,Current
L1016,2025-01,2025-10,9,Current
L1016,2025-01,2025-11,10,Current
L1016,2025-01,2025-12,11,Current
L1016,2025-01,2026-01,12,Current
L1016,2025-01,2026-02,13,Current
L1016,2025-01,2026-03,14,Current
L1016,2025-01,2026-04,15,Current
L1016,2025-01,2026-05,16,Current
L1016,2025-01,2026-06,17,Current
L1017,2025-01,2025-02,1,Current
L1017,2025-01,2025-03,2,Current
L1017,2025-01,2025-04,3,Current
L1017,2025-01,2025-05,4,Current
L1017,2025-01,2025-06,5,Current
L1017,2025-01,2025-07,6,Current
L1017,2025-01,2025-08,7,Current
L1017,2025-01,2025-09,8,Current
L1017,2025-01,2025-10,9,Current
L1017,2025-01,2025-11,10,Current
L1017,2025-01,2025-12,11,Current
L1017,2025-01,2026-01,12,Current
L1017,2025-01,2026-02,13,Current
L1017,2025-01,2026-03,14,Current
L1017,2025-01,2026-04,15,Current
L1017,2025-01,2026-05,16,Current
L1017,2025-01,2026-06,17,Current
L1018,2025-01,2025-02,1,Current
L1018,2025-01,2025-03,2,Current
L1018,2025-01,2025-04,3,Current
L1018,2025-01,2025-05,4,Current
L1018,2025-01,2025-06,5,Current
L1018,2025-01,2025-07,6,Current
L1018,2025-01,2025-08,7,Current
L1018,2025-01,2025-09,8,Current
L1018,2025-01,2025-10,9,Current
L1018,2025-01,2025-11,10,Current
L1018,2025-01,2025-12,11,Current
L1018,2025-01,2026-01,12,30 DPD
L1018,2025-01,2026-02,13,30 DPD
L1018,2025-01,2026-03,14,Current
L1018,2025-01,2026-04,15,Current
L1018,2025-01,2026-05,16,Current
L1018,2025-01,2026-06,17,Current
L1019,2025-01,2025-02,1,Current
L1019,2025-01,2025-03,2,Current
L1019,2025-01,2025-04,3,Current
L1019,2025-01,2025-05,4,Current
L1019,2025-01,2025-06,5,Current
L1019,2025-01,2025-07,6,Current
L1019,2025-01,2025-08,7,Current
L1019,2025-01,2025-09,8,Current
L1019,2025-01,2025-10,9,Current
L1019,2025-01,2025-11,10,Current
L1019,2025-01,2025-12,11,Current
L1019,2025-01,2026-01,12,Current
L1019,2025-01,2026-02,13,Current
L1019,2025-01,2026-03,14,Current
L1019,2025-01,2026-04,15,Current
L1019,2025-01,2026-05,16,Current
L1019,2025-01,2026-06,17,Current
L1020,2025-01,2025-02,1,Current
L1020,2025-01,2025-03,2,Current
L1020,2025-01,2025-04,3,Current
L1020,2025-01,2025-05,4,30 DPD
L1020,2025-01,2025-06,5,30 DPD
L1020,2025-01,2025-07,6,30 DPD
L1020,2025-01,2025-08,7,60 DPD
L1020,2025-01,2025-09,8,60 DPD
L1020,2025-01,2025-10,9,Current
L1020,2025-01,2025-11,10,Current
L1020,2025-01,2025-12,11,Current
L1020,2025-01,2026-01,12,Current
L1020,2025-01,2026-02,13,Current
L1020,2025-01,2026-03,14,Current
L1020,2025-01,2026-04,15,Current
L1020,2025-01,2026-05,16,Current
L1020,2025-01,2026-06,17,Current
L1021,2025-01,2025-02,1,Current
L1021,2025-01,2025-03,2,Current
L1021,2025-01,2025-04,3,Current
L1021,2025-01,2025-05,4,Current
L1021,2025-01,2025-06,5,Current
L1021,2025-01,2025-07,6,30 DPD
L1021,2025-01,2025-08,7,30 DPD
L1021,2025-01,2025-09,8,Current
L1021,2025-01,2025-10,9,Current
L1021,2025-01,2025-11,10,Current
L1021,2025-01,2025-12,11,Current
L1021,2025-01,2026-01,12,Current
L1021,2025-01,2026-02,13,Current
L1021,2025-01,2026-03,14,Current
L1021,2025-01,2026-04,15,Current
L1021,2025-01,2026-05,16,Current
L1021,2025-01,2026-06,17,Current
L1022,2025-01,2025-02,1,Current
L1022,2025-01,2025-03,2,Current
L1022,2025-01,2025-04,3,Current
L1022,2025-01,2025-05,4,Current
L1022,2025-01,2025-06,5,Current
L1022,2025-01,2025-07,6,Current
L1022,2025-01,2025-08,7,Current
L1022,2025-01,2025-09,8,Current
L1022,2025-01,2025-10,9,Current
L1022,2025-01,2025-11,10,Current
L1022,2025-01,2025-12,11,Current
L1022,2025-01,2026-01,12,Current
L1022,2025-01,2026-02,13,Current
L1023,2025-01,2025-02,1,Current
L1023,2025-01,2025-03,2,Current
L1023,2025-01,2025-04,3,Current
L1023,2025-01,2025-05,4,Current
L1023,2025-01,2025-06,5,Current
L1023,2025-01,2025-07,6,Current
L1023,2025-01,2025-08,7,Current
L1023,2025-01,2025-09,8,Current
L1023,2025-01,2025-10,9,Current
L1023,2025-01,2025-11,10,Current
L1023,2025-01,2025-12,11,Current
L1023,2025-01,2026-01,12,30 DPD
L1023,2025-01,2026-02,13,30 DPD
L1024,2025-01,2025-02,1,Current
L1024,2025-01,2025-03,2,Current
L1024,2025-01,2025-04,3,Current
L1024,2025-01,2025-05,4,Current
L1024,2025-01,2025-06,5,Current
L1024,2025-01,2025-07,6,Current
L1024,2025-01,2025-08,7,Current
L1024,2025-01,2025-09,8,Current
L1024,2025-01,2025-10,9,Current
L1024,2025-01,2025-11,10,Current
L1024,2025-01,2025-12,11,Current
L1024,2025-01,2026-01,12,Current
L1024,2025-01,2026-02,13,Current
L1024,2025-01,2026-03,14,Current
L1024,2025-01,2026-04,15,Current
L1024,2025-01,2026-05,16,Current
L1024,2025-01,2026-06,17,Current
L1025,2025-01,2025-02,1,Current
L1025,2025-01,2025-03,2,Current
L1025,2025-01,2025-04,3,Current
L1025,2025-01,2025-05,4,Current
L1025,2025-01,2025-06,5,Current
L1025,2025-01,2025-07,6,Current
L1025,2025-01,2025-08,7,Current
L1025,2025-01,2025-09,8,Current
L1025,2025-01,2025-10,9,Current
L1025,2025-01,2025-11,10,Current
L1025,2025-01,2025-12,11,Current
L1025,2025-01,2026-01,12,Current
L1025,2025-01,2026-02,13,Current
L1026,2025-01,2025-02,1,Current
L1026,2025-01,2025-03,2,Current
L1026,2025-01,2025-04,3,Current
L1026,2025-01,2025-05,4,Current
L1026,2025-01,2025-06,5,Current
L1026,2025-01,2025-07,6,Current
L1026,2025-01,2025-08,7,Current
L1026,2025-01,2025-09,8,Current
L1026,2025-01,2025-10,9,Current
L1026,2025-01,2025-11,10,Current
L1026,2025-01,2025-12,11,Current
L1026,2025-01,2026-01,12,Current
L1026,2025-01,2026-02,13,Current
L1027,2025-01,2025-02,1,Current
L1027,2025-01,2025-03,2,Current
L1027,2025-01,2025-04,3,Current
L1027,2025-01,2025-05,4,Current
L1027,2025-01,2025-06,5,Current
L1027,2025-01,2025-07,6,Current
L1027,2025-01,2025-08,7,Current
L1027,2025-01,2025-09,8,Current
L1027,2025-01,2025-10,9,Current
L1027,2025-01,2025-11,10,Current
L1027,2025-01,2025-12,11,Current
L1027,2025-01,2026-01,12,Current
L1027,2025-01,2026-02,13,Current
L1028,2025-01,2025-02,1,Current
L1028,2025-01,2025-03,2,Current
L1028,2025-01,2025-04,3,Current
L1028,2025-01,2025-05,4,Current
L1028,2025-01,2025-06,5,Current
L1028,2025-01,2025-07,6,Current
L1028,2025-01,2025-08,7,Current
L1028,2025-01,2025-09,8,Current
L1028,2025-01,2025-10,9,30 DPD
L1028,2025-01,2025-11,10,60 DPD
L1028,2025-01,2025-12,11,60 DPD
L1028,2025-01,2026-01,12,90 DPD
L1028,2025-01,2026-02,13,NPA
L1028,2025-01,2026-03,14,NPA
L1028,2025-01,2026-04,15,NPA
L1028,2025-01,2026-05,16,NPA
L1028,2025-01,2026-06,17,NPA
L1029,2025-01,2025-02,1,Current
L1029,2025-01,2025-03,2,Current
L1029,2025-01,2025-04,3,Current
L1029,2025-01,2025-05,4,Current
L1029,2025-01,2025-06,5,Current
L1029,2025-01,2025-07,6,Current
L1029,2025-01,2025-08,7,Current
L1029,2025-01,2025-09,8,Current
L1029,2025-01,2025-10,9,Current
L1029,2025-01,2025-11,10,Current
L1029,2025-01,2025-12,11,Current
L1029,2025-01,2026-01,12,Current
L1029,2025-01,2026-02,13,Current
L1029,2025-01,2026-03,14,Current
L1029,2025-01,2026-04,15,Current
L1029,2025-01,2026-05,16,Current
L1029,2025-01,2026-06,17,Current
L1030,2025-01,2025-02,1,Current
L1030,2025-01,2025-03,2,Current
L1030,2025-01,2025-04,3,Current
L1030,2025-01,2025-05,4,Current
L1030,2025-01,2025-06,5,Current
L1030,2025-01,2025-07,6,Current
L1030,2025-01,2025-08,7,Current
L1030,2025-01,2025-09,8,Current
L1030,2025-01,2025-10,9,Current
L1030,2025-01,2025-11,10,Current
L1030,2025-01,2025-12,11,Current
L1030,2025-01,2026-01,12,Current
L1030,2025-01,2026-02,13,Current
L1031,2025-01,2025-02,1,Current
L1031,2025-01,2025-03,2,Current
L1031,2025-01,2025-04,3,Current
L1031,2025-01,2025-05,4,Current
L1031,2025-01,2025-06,5,Current
L1031,2025-01,2025-07,6,Current
L1031,2025-01,2025-08,7,Current
L1031,2025-01,2025-09,8,Current
L1031,2025-01,2025-10,9,Current
L1031,2025-01,2025-11,10,Current
L1031,2025-01,2025-12,11,Current
L1031,2025-01,2026-01,12,Current
L1031,2025-01,2026-02,13,Current
L1031,2025-01,2026-03,14,Current
L1031,2025-01,2026-04,15,Current
L1031,2025-01,2026-05,16,Current
L1031,2025-01,2026-06,17,Current
L1032,2025-01,2025-02,1,Current
L1032,2025-01,2025-03,2,Current
L1032,2025-01,2025-04,3,30 DPD
L1032,2025-01,2025-05,4,30 DPD
L1032,2025-01,2025-06,5,30 DPD
L1032,2025-01,2025-07,6,30 DPD
L1032,2025-01,2025-08,7,30 DPD
L1032,2025-01,2025-09,8,30 DPD
L1032,2025-01,2025-10,9,30 DPD
L1032,2025-01,2025-11,10,30 DPD
L1032,2025-01,2025-12,11,60 DPD
L1032,2025-01,2026-01,12,60 DPD
L1032,2025-01,2026-02,13,60 DPD
L1032,2025-01,2026-03,14,90 DPD
L1032,2025-01,2026-04,15,90 DPD
L1032,2025-01,2026-05,16,90 DPD
L1032,2025-01,2026-06,17,90 DPD
L1033,2025-01,2025-02,1,Current
L1033,2025-01,2025-03,2,Current
L1033,2025-01,2025-04,3,Current
L1033,2025-01,2025-05,4,Current
L1033,2025-01,2025-06,5,Current
L1033,2025-01,2025-07,6,30 DPD
L1033,2025-01,2025-08,7,30 DPD
L1033,2025-01,2025-09,8,60 DPD
L1033,2025-01,2025-10,9,90 DPD
L1033,2025-01,2025-11,10,90 DPD
L1033,2025-01,2025-12,11,90 DPD
L1033,2025-01,2026-01,12,90 DPD
L1033,2025-01,2026-02,13,90 DPD
L1033,2025-01,2026-03,14,90 DPD
L1033,2025-01,2026-04,15,90 DPD
L1033,2025-01,2026-05,16,NPA
L1033,2025-01,2026-06,17,NPA
L1034,2025-01,2025-02,1,Current
L1034,2025-01,2025-03,2,Current
L1034,2025-01,2025-04,3,Current
L1034,2025-01,2025-05,4,Current
L1034,2025-01,2025-06,5,Current
L1034,2025-01,2025-07,6,Current
L1034,2025-01,2025-08,7,Current
L1034,2025-01,2025-09,8,Current
L1034,2025-01,2025-10,9,Current
L1034,2025-01,2025-11,10,Current
L1034,2025-01,2025-12,11,Current
L1034,2025-01,2026-01,12,Current
L1034,2025-01,2026-02,13,Current
L1034,2025-01,2026-03,14,Current
L1034,2025-01,2026-04,15,Current
L1034,2025-01,2026-05,16,Current
L1034,2025-01,2026-06,17,Current
L1035,2025-01,2025-02,1,Current
L1035,2025-01,2025-03,2,Current
L1035,2025-01,2025-04,3,Current
L1035,2025-01,2025-05,4,Current
L1035,2025-01,2025-06,5,Current
L1035,2025-01,2025-07,6,Current
L1035,2025-01,2025-08,7,Current
L1035,2025-01,2025-09,8,Current
L1035,2025-01,2025-10,9,Current
L1035,2025-01,2025-11,10,Current
L1035,2025-01,2025-12,11,Current
L1035,2025-01,2026-01,12,Current
L1035,2025-01,2026-02,13,Current
L1035,2025-01,2026-03,14,Current
L1035,2025-01,2026-04,15,Current
L1035,2025-01,2026-05,16,Current
L1035,2025-01,2026-06,17,Current
L1036,2025-01,2025-02,1,Current
L1036,2025-01,2025-03,2,Current
L1036,2025-01,2025-04,3,Current
L1036,2025-01,2025-05,4,Current
L1036,2025-01,2025-06,5,Current
L1036,2025-01,2025-07,6,Current
L1036,2025-01,2025-08,7,Current
L1036,2025-01,2025-09,8,Current
L1036,2025-01,2025-10,9,Current
L1036,2025-01,2025-11,10,Current
L1036,2025-01,2025-12,11,Current
L1036,2025-01,2026-01,12,Current
L1036,2025-01,2026-02,13,Current
L1037,2025-01,2025-02,1,Current
L1037,2025-01,2025-03,2,Current
L1037,2025-01,2025-04,3,Current
L1037,2025-01,2025-05,4,Current
L1037,2025-01,2025-06,5,Current
L1037,2025-01,2025-07,6,Current
L1037,2025-01,2025-08,7,Current
L1037,2025-01,2025-09,8,30 DPD
L1037,2025-01,2025-10,9,30 DPD
L1037,2025-01,2025-11,10,Current
L1037,2025-01,2025-12,11,Current
L1037,2025-01,2026-01,12,Current
L1037,2025-01,2026-02,13,Current
L1037,2025-01,2026-03,14,Current
L1037,2025-01,2026-04,15,Current
L1037,2025-01,2026-05,16,Current
L1037,2025-01,2026-06,17,Current
L1038,2025-01,2025-02,1,30 DPD
L1038,2025-01,2025-03,2,30 DPD
L1038,2025-01,2025-04,3,60 DPD
L1038,2025-01,2025-05,4,Current
L1038,2025-01,2025-06,5,Current
L1038,2025-01,2025-07,6,Current
L1038,2025-01,2025-08,7,Current
L1038,2025-01,2025-09,8,Current
L1038,2025-01,2025-10,9,Current
L1038,2025-01,2025-11,10,Current
L1038,2025-01,2025-12,11,Current
L1038,2025-01,2026-01,12,Current
L1038,2025-01,2026-02,13,Current
L1038,2025-01,2026-03,14,Current
L1038,2025-01,2026-04,15,Current
L1038,2025-01,2026-05,16,Current
L1038,2025-01,2026-06,17,Current
L1039,2025-01,2025-02,1,30 DPD
L1039,2025-01,2025-03,2,60 DPD
L1039,2025-01,2025-04,3,60 DPD
L1039,2025-01,2025-05,4,90 DPD
L1039,2025-01,2025-06,5,90 DPD
L1039,2025-01,2025-07,6,90 DPD
L1039,2025-01,2025-08,7,NPA
L1039,2025-01,2025-09,8,NPA
L1039,2025-01,2025-10,9,NPA
L1039,2025-01,2025-11,10,NPA
L1039,2025-01,2025-12,11,NPA
L1039,2025-01,2026-01,12,NPA
L1039,2025-01,2026-02,13,NPA
L1039,2025-01,2026-03,14,NPA
L1039,2025-01,2026-04,15,NPA
L1039,2025-01,2026-05,16,NPA
L1039,2025-01,2026-06,17,NPA
L1040,2025-01,2025-02,1,Current
L1040,2025-01,2025-03,2,Current
L1040,2025-01,2025-04,3,Current
L1040,2025-01,2025-05,4,Current
L1040,2025-01,2025-06,5,Current
L1040,2025-01,2025-07,6,Current
L1040,2025-01,2025-08,7,Current
L1040,2025-01,2025-09,8,Current
L1040,2025-01,2025-10,9,Current
L1040,2025-01,2025-11,10,Current
L1040,2025-01,2025-12,11,Current
L1040,2025-01,2026-01,12,Current
L1040,2025-01,2026-02,13,Current
L1040,2025-01,2026-03,14,Current
L1040,2025-01,2026-04,15,Current
L1040,2025-01,2026-05,16,Current
L1040,2025-01,2026-06,17,Current
L1041,2025-01,2025-02,1,Current
L1041,2025-01,2025-03,2,Current
L1041,2025-01,2025-04,3,Current
L1041,2025-01,2025-05,4,Current
L1041,2025-01,2025-06,5,Current
L1041,2025-01,2025-07,6,Current
L1041,2025-01,2025-08,7,Current
L1041,2025-01,2025-09,8,Current
L1041,2025-01,2025-10,9,Current
L1041,2025-01,2025-11,10,Current
L1041,2025-01,2025-12,11,Current
L1041,2025-01,2026-01,12,Current
L1041,2025-01,2026-02,13,Current
L1042,2025-01,2025-02,1,Current
L1042,2025-01,2025-03,2,Current
L1042,2025-01,2025-04,3,Current
L1042,2025-01,2025-05,4,Current
L1042,2025-01,2025-06,5,Current
L1042,2025-01,2025-07,6,Current
L1042,2025-01,2025-08,7,Current
L1042,2025-01,2025-09,8,Current
L1042,2025-01,2025-10,9,Current
L1042,2025-01,2025-11,10,Current
L1042,2025-01,2025-12,11,Current
L1042,2025-01,2026-01,12,Current
L1042,2025-01,2026-02,13,Current
L1042,2025-01,2026-03,14,Current
L1042,2025-01,2026-04,15,Current
L1042,2025-01,2026-05,16,Current
L1042,2025-01,2026-06,17,Current
L1043,2025-01,2025-02,1,Current
L1043,2025-01,2025-03,2,Current
L1043,2025-01,2025-04,3,Current
L1043,2025-01,2025-05,4,Current
L1043,2025-01,2025-06,5,Current
L1043,2025-01,2025-07,6,Current
L1043,2025-01,2025-08,7,Current
L1043,2025-01,2025-09,8,Current
L1043,2025-01,2025-10,9,Current
L1043,2025-01,2025-11,10,30 DPD
L1043,2025-01,2025-12,11,30 DPD
L1043,2025-01,2026-01,12,30 DPD
L1043,2025-01,2026-02,13,30 DPD
L1044,2025-01,2025-02,1,Current
L1044,2025-01,2025-03,2,Current
L1044,2025-01,2025-04,3,Current
L1044,2025-01,2025-05,4,Current
L1044,2025-01,2025-06,5,Current
L1044,2025-01,2025-07,6,Current
L1044,2025-01,2025-08,7,Current
L1044,2025-01,2025-09,8,Current
L1044,2025-01,2025-10,9,Current
L1044,2025-01,2025-11,10,Current
L1044,2025-01,2025-12,11,Current
L1044,2025-01,2026-01,12,Current
L1044,2025-01,2026-02,13,Current
L1045,2025-01,2025-02,1,Current
L1045,2025-01,2025-03,2,Current
L1045,2025-01,2025-04,3,Current
L1045,2025-01,2025-05,4,Current
L1045,2025-01,2025-06,5,Current
L1045,2025-01,2025-07,6,Current
L1045,2025-01,2025-08,7,Current
L1045,2025-01,2025-09,8,Current
L1045,2025-01,2025-10,9,Current
L1045,2025-01,2025-11,10,Current
L1045,2025-01,2025-12,11,Current
L1045,2025-01,2026-01,12,Current
L1045,2025-01,2026-02,13,Current
L1045,2025-01,2026-03,14,Current
L1045,2025-01,2026-04,15,Current
L1045,2025-01,2026-05,16,Current
L1045,2025-01,2026-06,17,30 DPD
L1046,2025-01,2025-02,1,Current
L1046,2025-01,2025-03,2,Current
L1046,2025-01,2025-04,3,Current
L1046,2025-01,2025-05,4,Current
L1046,2025-01,2025-06,5,Current
L1046,2025-01,2025-07,6,Current
L1046,2025-01,2025-08,7,Current
L1046,2025-01,2025-09,8,Current
L1046,2025-01,2025-10,9,Current
L1046,2025-01,2025-11,10,Current
